Name,Review,UpVotes,Rating,Date,Opinion Unit,Unsupervised labels
James Johnson,The Playlist experience broken change Playlist doesn auto save like Microsoft Groove did have save the Playlist again Except when save over the existing Playlist appends the tracks the existing Playlist instead replacing the original list have playksit,137.0,1.0,"February 8, 2020","[['the', 'playlist', 'experience', 'broken'], ['if', 'i', 'change', 'playlist', 'like', 'microsoft', 'groove'], ['so', 'i', 'save', 'playlist'], ['except', 'i', 'save', 'existing', 'playlist', 'appends', 'tracks', 'existing', 'playlist', 'instead', 'replacing', 'original', 'list'], ['so', 'i', 'playksit']]","['Support', 'neutral', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA']"
Nintendo Switch,VLC for Android just isn the standards its counterpart matter what android device Ive used always run into some sort hindrance when playing videos Sound cutting out and not reappearing until exit video cutting out distorting etc etc finds way ruin anything,53.0,2.0,"February 10, 2020","[['vlc', 'android', 'standards', 'pc', 'counterpart'], ['no', 'matter', 'android', 'device', 'ive', 'used', 'i', 'always', 'run', 'sort', 'hindrance', 'playing', 'videos'], ['sound', 'cutting', 'reappearing', 'i', 'exit', 'video', 'cutting', 'distorting', 'etc', 'etc'], ['it', 'finds', 'way', 'ruin', 'anything', 'i']]","['Redundant/NA', 'Bug', 'neutral', 'Redundant/NA']"
Monster,With every update VLC becomes more unusable than the previous updates that predated Every video will have issue such macro blocking audio suddenly turning off the video just randomly shutting off Trying cast video chromecast will result maybe your lucky one two min,216.0,2.0,"February 16, 2020","[['with', 'every', 'update', 'vlc', 'becomes', 'unusable', 'previous', 'updates', 'predated'], ['every', 'video', 'issue', 'macro', 'blocking', 'audio', 'suddenly', 'turning', 'video', 'randomly', 'shutting'], ['trying', 'cast', 'video', 'chromecast', 'result', 'maybe', 'lucky', 'one', 'two', 'min']]","['Redundant/NA', 'Support', 'Redundant/NA']"
Steven Anthony Eckstine,Definitely one the BEST players Mobile Android phones should come stock with this video player Easy use always really good quality and never have any problems with def worth the download highly recommended Thnx DEVS Amazing Job yeah DUH music Pla,88.0,1.0,"February 17, 2020","[['definitely', 'one', 'best', 'players', 'mobile', 'android', 'phones', 'come', 'stock', 'video', 'player', 'easy', 'use', 'always', 'really', 'good', 'quality', 'i', 'never', 'problems', 'it', 'def', 'worth', 'download', 'highly', 'recommended', 'thnx', 'devs', 'amazing', 'job', 'oh', 'yeah'], [], [], ['duh', 'it', 'music', 'pla']]","['neutral', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA']"
Arthur Schreinemacher,only use cast content chromecast But the cast button just disappeared after using one time Tried everything reinstalling clear cache clear data tried different wifi networks AND YES phone the chromecast are the same wifi Please just fix the damn button Using local cast,6.0,5.0,"February 16, 2020","[['i', 'use', 'cast', 'content', 'chromecast'], ['but', 'cast', 'button', 'disappeared', 'using', 'one', 'time'], ['tried', 'everything', 'reinstalling', 'clear', 'cache', 'clear', 'data', 'tried', 'different', 'wifi', 'networks', 'and', 'yes', 'phone', 'chromecast', 'wifi'], ['please', 'fix', 'damn', 'button'], ['using', 'local', 'cast']]","['Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA']"
Abdin Khan,before updated was able link phone screen the and watch well play with phone the same time but now just links the but screen fully seen come off VLC Player Google that also shows whereas before just showed the media file that was sho,58.0,1.0,"February 8, 2020","[['hi', 'i', 'updated'], ['i', 'able', 'link', 'phone', 'screen', 'tv', 'watch', 'well', 'play', 'phone', 'time', 'links', 'tv', 'screen', 'fully', 'seen', 'i', 'come', 'vlc', 'player', 'go', 'google', 'also', 'shows', 'whereas', 'showed', 'media', 'file', 'sho']]","['Redundant/NA', 'neutral']"
Exzaviermoon,Like previous update which did the same this recent update wiped all playlists music will load into audio list even with directories selected have load manually from their locations Lost playlists again Frustrating Also not loading video correctly The past update that had this,134.0,4.0,"February 8, 2020","[['like', 'previous', 'update', 'recent', 'update', 'wiped', 'playlists'], ['no', 'music', 'load', 'audio', 'list', 'even', 'directories', 'selected', 'load', 'manually', 'locations'], ['lost', 'playlists'], ['frustrating', 'also', 'loading', 'video', 'correctly'], ['the', 'past', 'update']]","['neutral', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA']"
Paul Y,Before the latest update the Player would cast the and the display phone would turn off while casting nice Feature you could also use you phone would still cast the content the player without issue now however doesn you have leave your display all the time you,86.0,2.0,"February 13, 2020","[['before', 'latest', 'update', 'player', 'would', 'cast', 'tv', 'display', 'phone', 'would', 'turn', 'casting', 'nice', 'feature', 'could', 'also', 'use', 'phone', 'would', 'still', 'cast', 'content', 'player', 'without', 'issue'], [], [], [], ['however', 'leave', 'display', 'time', 'p']]","['neutral', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA']"
Amanda Owens,love VLC very much cos can open almost every file use watch all videos and movies But this recent update isn helping the previous update able download subtitles this especially for movies which has foreign language the main language But this new upd,47.0,4.0,"February 13, 2020","[['i', 'love', 'vlc', 'much', 'cos', 'open', 'almost', 'every', 'file'], [], [], ['i', 'use', 'watch', 'videos', 'movies'], [], ['but', 'recent', 'update', 'helping'], [], ['in', 'previous', 'update', 'able', 'download', 'subtitles', 'i', 'especially', 'movies', 'foreign', 'language', 'main', 'language'], ['but', 'new', 'upd']]","['neutral', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Support', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA']"
Shakil Meshram,Some high resolution videos are not playing opening the video its saying use another app called PLAYIT using this app for long time and love But recently bought new phone redmi note pro and downloaded some videos and tried play VLC but when open says,14.0,3.0,"February 12, 2020","[['some', 'high', 'resolution', 'videos', 'playing'], ['on', 'opening', 'video', 'saying', 'use', 'another', 'app', 'called', 'playit'], ['i', 'using', 'app', 'long', 'time', 'i', 'love'], ['but', 'i', 'recently', 'bought', 'new', 'phone', 'redmi', 'note', '8', 'pro', 'i', 'downloaded', '4k', 'videos', 'i', 'tried', 'play', 'vlc', 'i', 'open', 'says']]","['Redundant/NA', 'Redundant/NA', 'neutral', 'Redundant/NA']"
