Name,Review,UpVotes,Rating,Date,Opinion Unit,Unsupervised labels
Sanket,there bug the new version When the button bar hidden for few minutes will dissapear pressing the screen won make pop anymore This problem doesn occur enable double tap seek,,5.0,"February 11, 2020","[['bug', 'new', 'version'], ['when', 'button', 'bar', 'hidden', 'minutes', 'dissapear'], ['pressing', 'screen', 'wo', 'make', 'pop', 'anymore'], ['this', 'problem', 'occur', 'enable', 'double', 'tap', 'seek'], []]","['Bug', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA']"
Raditya Arga Putra,The interface hard work with dice roll see can successfully queue another song start playing and delete the play queue set The most recent update also wiped all playlists,8.0,1.0,"January 18, 2020","[['the', 'interface', 'hard', 'work'], ['it', 'dice', 'roll', 'see', 'i', 'successfully', 'queue', 'another', 'song', 'start', 'playing', 'delete', 'play', 'queue', 'i', 'set'], ['the', 'recent', 'update', 'also', 'wiped', 'playlists']]","['Redundant/NA', 'Feature Request', 'Redundant/NA']"
Disappointment,The update sucks Using vlc has become nightmare The backlight doesn off after video and the resume playback option doesn work anymore got through lists videos just find what was watching previously and continue,19.0,4.0,"December 6, 2019","[['the', 'update', 'sucks'], ['using', 'vlc', 'become', 'nightmare'], ['the', 'backlight', 'go', 'video', 'resume', 'playback', 'option', 'work', 'anymore'], ['i', 'got', 'go', 'lists', 'videos', 'find', 'i', 'watching', 'previously', 'continue']]","['Redundant/NA', 'Redundant/NA', 'Feature Request', 'Redundant/NA']"
dave cee,Very entertaining app for watching movies and videos and also for playing music,6.0,1.0,"December 10, 2019","[['very', 'entertaining', 'app', 'watching', 'movies', 'videos', 'also', 'playing', 'music']]",['Redundant/NA']
Gyan Bediako,Worst app after update only scans all the time media seems using app from century,,2.0,"February 14, 2020","[['worst', 'app', 'update'], [], ['scans', 'time', 'media'], [], ['seems', 'i', 'using', 'app', '20', 'century']]","['Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA']"
mohd daud,doesn work that well For example many the times click file using the file manager VLC does not start play anything all also after having chosen open the file with VLC,,5.0,"February 16, 2020","[['it', 'work', 'well'], [], [], ['for', 'example', 'many', 'times', 'i', 'click', 'file', 'using', 'file', 'manager', 'vlc', 'start', 'play', 'anything', 'also', 'chosen', 'open', 'file', 'vlc'], []]","['neutral', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA']"
luca //,Why the heck would the developers place previous pause and next buttons right next each other and leave much space either side Many times skipped the next song when all wanted pause play,13.0,1.0,"January 3, 2020","[['why', 'heck', 'would', 'developers', 'place', 'previous', 'pause', 'next', 'buttons', 'right', 'next', 'leave', 'much', 'space', 'either', 'side'], ['many', 'times', 'i', 'skipped', 'next', 'song', 'i', 'wanted', 'pause', 'play'], []]","['neutral', 'Redundant/NA', 'Redundant/NA']"
Jack Jones,don know what happen vlc these past few updates the subtitles aren showing always did the tutorials how activate the subs but doesn shown all videos have downloaded Please fix this the substitles android,12.0,2.0,"January 11, 2020","[['i', 'know', 'happen', 'vlc', 'past', 'updates', 'subtitles', 'showing', 'always', 'tutorials', 'activate', 'subs', 'shown', 'videos', 'downloaded'], ['please', 'fix', 'substitles', 'android'], []]","['Redundant/NA', 'Redundant/NA', 'Redundant/NA']"
nix arias,like VLC but audio player has annoying bug that causes speed and slow down during music playback Not much and maybe some people will never notice but quite conspicuous,3.0,2.0,"December 17, 2019","[['i', 'like', 'vlc', 'audio', 'player', 'annoying', 'bug', 'causes', 'speed', 'slow', 'music', 'playback'], ['not', 'much', 'maybe', 'people', 'never', 'notice', 'quite', 'conspicuous'], []]","['neutral', 'Redundant/NA', 'Redundant/NA']"
Karl Churchill,This updated version not cool all lot things used have stopped working videos not playback one the most annoying things that can ever happen,145.0,1.0,"November 29, 2019","[['this', 'updated', 'version', 'cool'], ['a', 'lot', 'things', 'used', 'stopped', 'working'], ['my', 'videos', 'one', 'annoying', 'things', 'ever', 'happen']]","['Redundant/NA', 'Redundant/NA', 'Redundant/NA']"
Gold Ewata,Feture request When chromecast video cannot control the volume via vlc app Please enable controlling volumne using hardware volumne buttons when chromecase session active Thanks love this app This the best media player app ever,3.0,3.0,"December 11, 2019","[['feture', 'request', 'when', 'chromecast', 'video'], ['i', 'control', 'volume', 'via', 'vlc', 'app'], ['please', 'enable', 'controlling', 'volumne', 'using', 'hardware', 'volumne', 'buttons', 'chromecase', 'session', 'active'], ['thanks'], ['i', 'love', 'app'], ['this', 'best', 'media', 'player', 'app', 'ever'], []]","['Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'neutral', 'Redundant/NA', 'Redundant/NA']"
suresh Bhardwaj,Great love because adds and other extra useless content Just serving purpose have observed issue and that Subtitles are not downloading Please fix the issue next update,12.0,3.0,"January 1, 2020","[['great', 'love', 'adds', 'extra', 'useless', 'content'], ['just', 'serving', 'purpose'], ['i', 'observed', 'issue', 'subtitles', 'downloading'], ['please', 'fix', 'issue', 'next', 'update']]","['neutral', 'neutral', 'Support', 'Support']"
Chandhu Reddy,great One thing this app lack doesn come with free drinks free simple can play all video firmats What else you want,5.0,5.0,"January 7, 2020","[['it', 'great'], ['one', 'thing', 'app', 'lack', 'come', 'free', 'drinks'], ['it', 'free', 'simple', 'play', 'video', 'firmats'], ['what', 'else', 'want'], []]","['Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA']"
Baharuddin Maghfur,can play youtube both paste link and share VLC won work,4.0,4.0,"January 30, 2020","[['ca', 'play', 'youtube', 'paste', 'link', 'share', 'vlc', 'wo', 'work'], []]","['Redundant/NA', 'Redundant/NA']"
南道爾,Hey guys really liked the new updates except one previous version videos which are similar for example episodes from same series are one place was easy track But now experience not very pleasant,,5.0,"February 17, 2020","[['hey', 'guys'], ['i', 'really', 'liked', 'new', 'updates', 'except', 'one'], ['in', 'previous', 'version', 'videos', 'similar'], ['e', 'example', 'episodes', 'series', 'one', 'place'], ['it', 'easy', 'track'], ['but', 'experience']]","['Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA']"
Sayudh Shamik Jana,this November update the isn powerful don like used use this app precisely because the great and powerful equalizer Now the Bass that come out from VLC simply bad and not deep,16.0,3.0,"December 4, 2019","[['in', 'november', 'update', 'eq', 'powerful'], ['i', 'like'], ['i', 'used', 'use', 'app', 'precisely', 'great', 'powerful', 'equalizer'], ['now', 'bass', 'come', 'vlc', 'simply', 'bad', 'deep'], []]","['Redundant/NA', 'neutral', 'Redundant/NA', 'Bug', 'Redundant/NA']"
rogers bonett,This app officially sucks since the latest updates Destroyed all playlists created wearlier versions this software Displays file directory listing only with thumbnails Will not group files wsimilar content file directory list What the hell happened this upgraded version,5.0,3.0,"December 5, 2019","[['this', 'app', 'officially', 'sucks', 'since', 'latest', 'updates', 'destroyed', 'playlists', 'created', 'wearlier', 'versions', 'software'], ['displays', 'file', 'directory', 'listing', 'thumbnails'], ['will', 'group', 'files', 'wsimilar', 'content', 'file', 'directory', 'list'], ['what', 'hell', 'happened', 'upgraded', 'version']]","['Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA']"
Canjac Canjar,wish you more improvements for the audio section like customizable tags jumping next tracks without having playlist and the most important thing please don reduce the resolution the music cover lock screen Good luck,7.0,3.0,"December 19, 2019","[['i', 'wish', 'improvements', 'audio', 'section', 'like', 'customizable', 'tags', 'jumping', 'next', 'tracks', 'without', 'playlist', 'important', 'thing', 'please', 'reduce', 'resolution', 'music', 'cover', 'lock', 'screen'], ['good', 'luck']]","['neutral', 'neutral']"
Gin Gamesh,The labeltitle the files vlc are moving horizontally which sooooo friggin unnecessary Doesn make any sense doing that cause just makes harder locate file for you have wait for the words stop moving like seriously what that for Annoying,49.0,2.0,"December 27, 2019","[['the', 'labeltitle', 'files', 'vlc', 'moving', 'horizontally', 'sooooo', 'friggin', 'unnecessary'], ['does', 'make', 'sense', 'cause', 'makes', 'harder', 'locate', 'file', 'wait', 'words', 'stop', 'moving', 'like', 'seriously'], ['annoying', 'af'], []]","['Redundant/NA', 'neutral', 'Redundant/NA', 'Redundant/NA']"
Kenan Mercadal,The most recent update horrible unable load music even though shows that transfered the music file just does not show the app Very bad update,3.0,4.0,"January 16, 2020","[['the', 'recent', 'update', 'horrible'], ['i', 'unable', 'load', 'music', 'even', 'though', 'shows', 'i', 'transfered', 'music', 'file'], ['it', 'show', 'app'], ['very', 'bad', 'update'], []]","['Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Bug', 'Redundant/NA']"
Sifǔ Anthony Tarasca,The player exceptional But would have been better you could make subtitle synchronisation easier,6.0,2.0,"December 10, 2019","[['the', 'player', 'exceptional'], ['but', 'would', 'better', 'could', 'make', 'subtitle', 'synchronisation', 'easier'], []]","['Redundant/NA', 'Redundant/NA', 'Redundant/NA']"
Neo Sapphire,Vlc really good video player but the main fault they remove few important things update the new update they have removed the sort out date option seriously couldn differentiate between new video the old one Try make work better then other video players not make,1.0,1.0,"February 7, 2020","[['vlc', 'really', 'good', 'video', 'player', 'main', 'fault', 'remove', 'important', 'things', 'update', 'new', 'update', 'removed', 'sort', 'date', 'option', 'seriously', 'could', 'differentiate', 'new', 'video', 'old', 'one'], [], [], ['try', 'make', 'work', 'better', 'video', 'players', 'make', 'w']]","['neutral', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA']"
Likith Raj,Great app for playing video files Android Although the latest update seems have glitched the subtitle searchdisplay features Resuming video file seems hit miss about only complaint,11.0,4.0,"January 12, 2020","[['great', 'app', 'playing', 'video', 'files', 'android'], ['although', 'latest', 'update', 'seems', 'glitched', 'subtitle', 'searchdisplay', 'features'], ['resuming', 'video', 'file', 'seems', 'hit', 'miss', 'complaint'], []]","['Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA']"
Doug M,Recording voices and videos should not again used have this problem with couple years ago and then stopped now doing again please fix update,7.0,1.0,"January 9, 2020","[['recording', 'voices', 'videos', 'i', 'used', 'problem', 'couple', 'years', 'ago', 'stopped', 'please', 'fix', 'update']]",['Redundant/NA']
Mark green,really good app but something broke when updated Now doesn show the right thumbnails for the videos Instead all the video thumbnails are jpg that not any video,1.0,4.0,"February 2, 2020","[['it', 'really', 'good', 'app', 'something', 'broke', 'updated'], ['now', 'show', 'right', 'thumbnails', 'videos'], ['instead', 'video', 'thumbnails', 'jpg', 'video']]","['neutral', 'neutral', 'Redundant/NA']"
Mike,use miBox Android The latest version doesn show all the files the directory shows only first files and folders Please fix this,1.0,3.0,"December 12, 2019","[['i', 'use', 'mibox', 'android', 'tv'], ['the', 'latest', 'version', 'show', 'files', 'directory'], ['it', 'shows', 'first', '65', 'files', 'folders'], ['please', 'fix']]","['Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA']"
Oleksandr Nigmatulin,There option disable fast forwarding and rewinding with gestures This leads the user often skipping through the video even the only intention was change the volume brightness,1.0,3.0,"December 18, 2019","[['there', 'option', 'disable', 'rewinding', 'gestures'], ['this', 'leads', 'user', 'often', 'skipping', 'video', 'even', 'intention', 'change', 'volume', 'brightness'], []]","['Feature Request', 'Redundant/NA', 'Redundant/NA']"
Snowcone Guy,cannot find media files configured VLC scan all directories don even have card installed All folders vlc library folders list say files Not true have many playable files those directories,11.0,3.0,"January 3, 2020","[['it', 'find', 'media', 'files'], ['i', 'configured', 'vlc', 'scan', 'directories'], ['i', 'even', 'sd', 'card', 'installed'], ['all', 'folders', 'vlc', 'library', 'folders', 'list', 'say', 'files'], ['not', 'true', 'i', 'many', 'playable', 'files', 'directories'], []]","['Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA']"
Abe Alexander,Constant crashes the latest update Had absolutely problems before Crashes app switches locking phone screen switching songs etc ain broke dont fix guys,1.0,2.0,"December 26, 2019","[['constant', 'crashes', 'latest', 'update'], ['had', 'absolutely', 'problems'], ['crashes', 'app', 'switches', 'locking', 'phone', 'screen', 'switching', 'songs', 'etc'], ['if', 'ai', 'broke', 'dont', 'fix', 'guys']]","['Bug', 'Redundant/NA', 'Bug', 'Redundant/NA']"
Mister Twisty,Very nice apps for playing video but this last update filled with bugs Minimize pause the light your screen went off then you will need start playing all over from your phone file manager The vlc apps will closed Fixed this bugs,3.0,2.0,"December 23, 2019","[['very', 'nice', 'apps', 'playing', 'video', 'last', 'update', 'filled', 'bugs'], ['minimize', 'pause', 'light', 'screen', 'went', 'need', 'start', 'playing', 'phone', 'file', 'manager'], ['the', 'vlc', 'apps', 'closed'], ['fixed', 'bugs']]","['neutral', 'Redundant/NA', 'Redundant/NA', 'Bug']"
Oluwafemi Muyideen Olaiya,will very helpful and useful has the feature that allows you add multiple audio files Playlist the same time instead adding them one one,21.0,1.0,"December 28, 2019","[['it', 'helpful', 'useful', 'feature', 'allows', 'add', 'multiple', 'audio', 'files', 'playlist', 'time', 'instead', 'adding', 'one', 'one']]",['Feature Request']
Christian Agbesi,used stars because after the last update can continue listening where stopped the app reverts the main folder because doesn minimise anymore otherwise perfect for use,2.0,5.0,"January 25, 2020","[['it', 'used', '5', 'stars'], ['last', 'update', 'i', 'ca', 'continue', 'listening', 'i', 'stopped', 'app', 'reverts', 'main', 'folder'], ['minimise', 'anymore'], ['it', 'otherwise', 'perfect', 'use'], []]","['Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA']"
Katherine Blackwater,SMBV problem Old version used work great with Moto plus with Android But this new version cannot remember passwords You must always enter router name and password Annoying,3.0,3.0,"December 8, 2019","[['smbv1', 'problem'], [], ['old', 'version', 'used', 'work', 'great', 'moto', 'g5s', 'plus', 'android', '8'], ['1'], ['but', 'new', 'version', 'remember', 'passwords'], ['you', 'must', 'always', 'enter', 'router', 'name', 'password'], ['annoying'], []]","['Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA']"
Richard Meklo,can stream video files from phone but can view images from phone,3.0,3.0,"December 8, 2019","[['i', 'stream', 'video', 'files', 'pc', 'phone', 'i', 'view', 'images', 'pc', 'phone'], []]","['Redundant/NA', 'Redundant/NA']"
Faragar,Great Open Source App for listening music With some experimenting found out that can even play synced songs from the nextcloud after created custom path play next function would awesome,,2.0,"February 16, 2020","[['great', 'listening', 'music'], ['with', 'experimenting', 'i', 'found', 'even', 'play', 'synced', 'songs', 'nextcloud', 'i', 'created', 'custom', 'path'], ['an', 'play', 'would', 'awesome'], []]","['Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA']"
JoRa Jungs,Tried this app Samsung Galaxy Plus and didn care for too much The volume low plus wouldn let pick what have folders all nothing sorry but going have uninstall,8.0,2.0,"January 8, 2020","[['tried', 'app', 'samsung', 'galaxy', 's10', 'plus', 'i', 'care', 'much'], ['the', 'volume', 'low', 'plus', 'would', 'let', 'pick', 'folders'], ['it', 'nothing', 'so', 'i', 'sorry', 'going', 'uninstall'], []]","['Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA']"
Susana Lopez,really good app ads please add back the rezise screen button,10.0,5.0,"December 29, 2019","[['really', 'good', 'app', 'ads'], ['please', 'add', 'back', 'rezise', 'screen', 'button']]","['neutral', 'Feature Request']"
Kranky,Why does playback speed still not work past speed without time streching audio enabled advanced settings This bug has been present since the release this app the old VLC beta app that longer available didn have this problem,1.0,2.0,"February 14, 2020","[['why', 'playback', 'speed', 'still', 'work', 'past', '1'], ['10x', 'speed', 'without', 'audio', 'enabled', 'advanced', 'settings', 'this', 'bug', 'present', 'since', 'release', 'app', 'old', 'vlc', 'beta', 'app', 'longer', 'available', 'problem'], []]","['Performance', 'Performance', 'Redundant/NA']"
Ryan Mitchell,Version slows the movie playing The tapping for seconds fast seeking shows annoying ugly shape which covers one fifth the movie screen making hard watch the movie not recommend upgrading version,11.0,4.0,"December 5, 2019","[['version', '3'], ['2'], ['6', 'slows', 'movie', 'playing'], ['the', 'tapping', '10', 'seconds', 'fast', 'seeking', 'shows', 'annoying', 'ugly', 'shape', 'covers', 'one', 'fifth', 'movie', 'screen', 'making', 'hard', 'watch', 'movie'], ['i', 'recommend', 'upgrading', 'version', '3'], ['2'], ['6'], []]","['Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Performance', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA']"
Joe Smith,Easy use and the only music player that has non terrible addition will play songs without tags can finally get full library phone instead only the first thousand,11.0,1.0,"January 2, 2020","[['easy', 'use', 'music', 'player', 'non', 'terrible', 'ui'], ['in', 'addition', 'play', 'songs', 'without', 'tags', 'i', 'finally', 'get', 'full', 'library', 'phone', 'instead', 'first', 'thousand'], []]","['Redundant/NA', 'neutral', 'Redundant/NA']"
Cujo,Devs still meddling and screwing everything Completely messed the aspect ratio Display incorrect phone and tablet and resize doesn help Chromecast okay issue just with app rendering Unable use stars off ain broken don fix FFS,9.0,1.0,"January 5, 2020","[['devs', 'still', 'meddling', 'screwing', 'everything'], ['completely', 'messed', 'aspect', 'ratio'], ['display', 'incorrect', 'phone', 'tablet', 'resize', 'help'], ['chromecast', 'okay', 'issue', 'app', 'rendering'], ['unable', 'use'], ['2', 'stars'], ['if', 'ai', 'broken', 'fix', 'ffs'], []]","['Redundant/NA', 'Redundant/NA', 'Support', 'Support', 'Redundant/NA', 'Redundant/NA', 'Support', 'Redundant/NA']"
Paul Thomas,was enjoying this app until this recent new update Since the update everything has been useless video don resume from where left off the auto resume button doesn respond anymore and watched video mark longer exist Pls fix all these you going lose users ffs,317.0,5.0,"December 28, 2019","[['i', 'enjoying', 'app', 'recent', 'new', 'update'], ['since', 'update', 'everything', 'useless'], ['my', 'video', 'resume', 'left', 'auto', 'resume', 'button', 'respond', 'anymore', 'watched', 'video', 'mark', 'longer', 'exist'], ['pls', 'fix', 'going', 'lose', 'users'], ['ffs']]","['Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA']"
Jonah Edobor,Good app But ready bad when comes the streaming keeps disconnected during movies like every mins use good but not anymore,9.0,2.0,"January 11, 2020","[['good', 'app'], ['but', 'ready', 'bad', 'comes', 'streaming', 'keeps', 'disconnected', 'movies', 'like', 'every', '20', 'mins'], [], [], [], [], ['it', 'use', 'good', 'anymore']]","['neutral', 'neutral', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'neutral']"
marie gomis,Would great you could delete files straight from the playlist not remove but actually delete from the filesystem,1.0,1.0,"January 30, 2020","[['would', 'great', 'could', 'delete', 'files', 'straight', 'playlist', 'remove', 'actually', 'delete', 'filesystem'], []]","['Feature Request', 'Redundant/NA']"
Roy Markham,The new version not that visually good annoying and can waist time letting the text the titles keep running the world only getting fill with idiots and that the guess,,3.0,"February 8, 2020","[['the', 'new', 'version', 'visually', 'good'], ['it', 'annoying', 'waist', 'time', 'letting', 'text', 'titles', 'keep', 'running'], ['we', 'world', 'getting', 'fill', 'idiots', 'qy', 'i', 'guess'], []]","['neutral', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA']"
Derrick Clement Lopez,was perfectly fine not until with the recent update which has everything mixing videos delete function and more really intolerable,9.0,4.0,"December 5, 2019","[['it', 'perfectly', 'fine', 'recent', 'update', 'everything', 'mixing', 'videos', 'delete', 'function', 'really', 'intolerable'], []]","['Feature Request', 'Redundant/NA']"
abby jang,Can skip forward Whenever try double tap and skip forward backward just winds back the part the video where want skip from This started happening the new update,5.0,2.0,"December 12, 2019","[['ca', 'skip', 'forward'], ['whenever', 'try', 'double', 'tap', 'skip', 'forward', 'backward', 'winds', 'back', 'part', 'video', 'want', 'skip', 'this', 'started', 'happening', 'new', 'update'], []]","['Redundant/NA', 'Redundant/NA', 'Redundant/NA']"
Madlad,Can change position subs you stretch the screen fit the note screen the subtitles are cut off the subs are out the screen,6.0,2.0,"December 10, 2019","[['ca', 'change', 'position', 'subs', 'stretch', 'screen', 'fit', 'note', '9', 'screen', 'subtitles', 'cut', 'subs', 'screen'], []]","['Redundant/NA', 'Redundant/NA']"
Khurram Malik,Best player entirely free and with workaround for bloody YouTube,,2.0,"January 26, 2020","[['best', 'player', 'entirely', 'free', 'workaround', 'bloody', 'youtube']]",['Redundant/NA']
Lora S.,Always clones while casting after recent update This significantly reduces usefulness unable view video content full screen and continue use other apps device,3.0,3.0,"February 2, 2020","[['always', 'clones', 'casting', 'recent', 'update'], ['this', 'significantly', 'reduces', 'usefulness', 'i', 'unable', 'view', 'video', 'content', 'tv', 'full', 'screen', 'continue', 'use', 'apps', 'device'], []]","['Redundant/NA', 'neutral', 'Redundant/NA']"
Chris Rich,Subtitles are not downloading Every time want download them failing Please fix this,4.0,5.0,"January 8, 2020","[['subtitles', 'downloading'], ['every', 'time', 'i', 'want', 'download', 'failing'], ['please', 'fix'], []]","['Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA']"
Raiyan Fardin,Does job Some features missing maybe just well hidden Like Mark Played button Can complain too much though free,,2.0,"January 22, 2020","[['does', 'job'], ['some', 'features', 'missing', 'maybe', 'well', 'hidden'], ['like', 'as', 'played', 'button'], ['ca', 'complain', 'much', 'though'], ['it', 'free'], []]","['Redundant/NA', 'neutral', 'neutral', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA']"
N7 Tigger,miss only one things VLC screen off next previous track buttons,1.0,1.0,"January 16, 2020","[['i', 'miss', 'one', 'things', 'vlc', 'screen', 'next', 'previous', 'track', 'buttons'], []]","['Redundant/NA', 'Redundant/NA']"
Farhan Aftab,This awesome app works well with all media,2.0,4.0,"February 1, 2020","[['this', 'awesome', 'app'], ['it', 'works', 'well', 'media'], []]","['Redundant/NA', 'neutral', 'Redundant/NA']"
Jason Hall,love the lock screen option because keeps the accidental touching the screen,4.0,5.0,"February 8, 2020","[['i', 'love', 'lock', 'screen', 'option', 'keeps', 'accidental', 'touching', 'screen']]",['neutral']
Alexander Christian,Settings not feasible for gadgets apps etc dumbass like went through the entire settings couldn get the app play movies from card,,5.0,"February 14, 2020","[['settings', 'feasible', 'gadgets', 'apps', 'etc'], [], ['dumbass', 'like'], [], ['went', 'entire', 'settings', 'could', 'get', 'app', 'play', 'movies', 'sd']]","['Redundant/NA', 'Redundant/NA', 'neutral', 'Redundant/NA', 'Redundant/NA']"
thupden denzongpa,App terrible after opening and pressing play one has tap least times before finally plays help from VLC techs fixing issue for the past years,,5.0,"February 12, 2020","[['app', 'terrible', 'opening', 'pressing', 'play', 'one', 'tap', 'least', '30', 'times', 'finally', 'plays'], ['no', 'help', 'vlc', 'techs', 'fixing', 'issue', 'past', '3', 'years'], []]","['Redundant/NA', 'Support', 'Redundant/NA']"
Leighton Morrison,rarely give review for any app but this new redesign update fantastic The new volume booster something always wanted and also show the quality any video home now Definitely star app for,5.0,3.0,"December 10, 2019","[['i', 'rarely', 'give', 'review', 'app', 'new', 'ui', 'redesign', 'update', 'fantastic'], ['the', 'new', '200', 'volume', 'booster', 'something', 'i', 'always', 'wanted', 'also', 'show', 'quality', 'video', 'home'], ['definitely', '5', 'star', 'app'], []]","['Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA']"
Syed Farjad,amazing app doubt but this new update really screwing with went vlc this morning and all music was deleted all playlists were empty and all that was left was downloaded files you have any help please respond back and hopefully the creators vlc see this,64.0,1.0,"December 6, 2019","[['it', 'amazing', 'app', 'doubt', 'new', 'update', 'really', 'screwing', 'went', 'vlc', 'morning', 'music', 'deleted', 'playlists', 'empty', 'left', 'downloaded', 'files', 'if', 'help', 'please', 'respond', 'back', 'hopefully', 'creators', 'vlc', 'see']]",['Support']
ronan edwards,Audio Randomly pausing need some troubleshooting help Sometimes switch other apps while listening audio and often times the audio pauses without any reason please help Apart from this the app excells everything,4.0,5.0,"December 11, 2019","[['audio', 'randomly', 'pausing', 'i', 'need', 'troubleshooting', 'help'], ['sometimes', 'i', 'switch', 'apps', 'listening', 'audio', 'often', 'times', 'audio', 'pauses', 'without', 'reason', 'please', 'help'], ['apart', 'app', 'excells', 'everything'], []]","['Support', 'Support', 'Redundant/NA', 'Redundant/NA']"
Aa,Loved VLC until last update only use for music but since last update the app longer sees music uninstalled VLC and installed again NOW everything fine except Playlists are gone,11.0,1.0,"December 17, 2019","[['loved', 'vlc', 'last', 'update'], ['i', 'use', 'music', 'since', 'last', 'update', 'app', 'longer', 'sees', 'music'], ['i', 'uninstalled', 'vlc', 'installed'], ['now', 'everything', 'fine', 'except', 'playlists', 'gone']]","['Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA']"
Kay Langerman,Don like the new menu since the upgrade Wish has one frame advance and save frame jpg feature Plays most movie files pretty good for the most part came with the phone,2.0,1.0,"December 16, 2019","[['do', 'like', 'new', 'menu', 'since', 'upgrade'], ['wish', 'one', 'frame', 'advance', 'save', 'frame', 'jpg', 'feature'], ['plays', 'movie', 'files'], ['it', 'pretty', 'good', 'part'], ['it', 'came', 'phone'], []]","['neutral', 'Feature Request', 'Redundant/NA', 'neutral', 'Redundant/NA', 'Redundant/NA']"
Rhomis Rhemis,You really missed the mark the last update grid view interface terrible cant delete certain files the list view why does the play all arrow have there all the time,4.0,4.0,"January 2, 2020","[['you', 'really', 'missed', 'mark', 'last', 'update'], ['no', 'grid', 'view', 'interface', 'terrible', 'cant', 'delete', 'certain', 'files', 'on', 'list', 'view', 'play', 'arrow', 'time']]","['Redundant/NA', 'Feature Request']"
Will Smith,Used the best player about but now stopped working Android Files are there but will longer display any listing just displays all folders being empty,1.0,4.0,"December 20, 2019","[['used', 'best', 'player', 'stopped', 'working', 'android', '9'], ['files', 'longer', 'display', 'listing'], ['it', 'displays', 'folders', 'empty'], []]","['Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA']"
Stuart Buck,Just another video app that doesnt work Plays video but stays stuck image while playing video bakground noise you fast forward plays for milisecond then freezes while background noise playing useless,7.0,1.0,"January 8, 2020","[['just', 'another', 'video', 'app', 'doesnt', 'work'], ['plays', 'video', 'stays', 'stuck', 'image', 'playing', 'video', 'bakground', 'noise'], ['if', 'fast', 'forward', 'plays', 'milisecond', 'freezes', 'background', 'noise', 'playing'], ['useless']]","['neutral', 'Redundant/NA', 'Performance', 'Redundant/NA']"
Alverto Ortega-Garcia,was using Player for years but recently had one Marvel movie with low audio used volume boost still low Then played VLC with volume boost and headphones almost blew out Cool VLC new video player,1.0,1.0,"January 17, 2020","[['i', 'using', 'mx', 'player', 'years', 'recently', 'one', 'marvel', 'movie', 'low', 'audio'], ['i', 'used', 'mx', 'volume', 'boost', 'still', 'low'], ['then', 'i', 'played', 'vlc', 'volume', 'boost', 'headphones', 'almost', 'blew'], ['cool', 'vlc', 'new', 'go', 'video', 'player'], []]","['Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA', 'Redundant/NA']"
D KL,Once installed will now always scan your entire device for files And impossible change this setting while scanning Which can take hours Oops,9.0,1.0,"December 6, 2019","[['once', 'installed', 'always', 'scan', 'entire', 'device', 'files'], ['and', 'impossible', 'change', 'setting', 'scanning'], ['which', 'take', 'hours'], ['oops']]","['Redundant/NA', 'Bug', 'Performance', 'Redundant/NA']"
Robert Owen,BEST AUDIO AND MEDIA PLAYER EVER EQUALISER WORKS GREAT INTERFACE STARS,4.0,5.0,"December 11, 2019","[['best', 'audio', 'and', 'media', 'player', 'ever', 'equaliser', 'works', '100', 'great', 'interface'], ['5']]","['Redundant/NA', 'Redundant/NA']"
